date,customer_id,location,business_sector,age,income,credit_score,savings_ratio,loan_amount,debt_to_income,credit_utilization,payment_punctuality,customer_feedback,default_history,sentiment,risk_category,customer_segment,feedback_topic
2025-04-15,CUST-2025000,"Iowa, US",Real Estate,39,93096.98,782,0.058,2692.74,0.133,0.93,91.49,Standard banking,0,Neutral,Medium Risk,Mass Market,General Service
2025-10-22,CUST-2025001,"Oklahoma, US",Retail,38,25000.0,716,0.042,43350.56,0.187,0.75,85.26,Neutral: No feedback provided.,0,Neutral,Medium Risk,Mass Market,Financial/Pricing
2025-02-26,CUST-2025002,"Utah, US",Services,34,42377.97,657,0.193,5856.85,0.103,0.62,84.18,Process was slow,0,Negative,Medium Risk,Mass Market,Digital/Operations
2025-02-26,CUST-2025003,"Missouri, US",Manufacturing,44,27556.02,606,0.136,17789.75,0.091,0.62,88.1,Excellent rates,0,Positive,Medium Risk,Mass Market,Financial/Pricing
2025-09-15,CUST-2025004,"South Carolina, US",Retail,49,25000.0,578,0.01,70266.78,0.229,0.9,85.24,Quick approval,0,Positive,High Risk,Mass Market,Digital/Operations
2025-06-27,CUST-2025005,"Arkansas, US",Education,30,25000.0,760,0.219,13311.27,0.119,0.3,89.95,Quick approval,0,Positive,Low Risk,Conservative Saver,Digital/Operations
2025-11-04,CUST-2025006,"Mississippi, US",Manufacturing,50,69536.82,722,0.138,44059.87,0.099,0.39,93.25,Standard banking,0,Neutral,Low Risk,Mass Market,General Service
2025-01-01,CUST-2025007,"Arizona, US",Services,45,46064.42,575,0.113,313.94,0.005,0.37,93.64,Excellent rates,0,Positive,High Risk,Mass Market,Financial/Pricing
2025-01-26,CUST-2025008,"Louisiana, US",Services,42,25012.5,676,0.223,2378.3,0.2,0.49,94.28,Standard banking,0,Neutral,Medium Risk,Conservative Saver,General Service
2025-11-17,CUST-2025009,"California, US",Education,58,34756.62,782,0.25,34532.34,0.057,0.4,81.75,High fees,0,Negative,Low Risk,Conservative Saver,Financial/Pricing
2025-04-09,CUST-2025010,"Arizona, US",Real Estate,32,49739.36,784,0.054,116378.57,0.104,0.59,86.94,Standard banking,0,Neutral,Medium Risk,Mass Market,General Service
2025-11-23,CUST-2025011,"West Virginia, US",Education,48,29204.44,593,0.195,98150.97,0.087,0.51,90.6,Neutral: No feedback provided.,0,Neutral,High Risk,Mass Market,Financial/Pricing
2025-09-18,CUST-2025012,"Oregon, US",Finance,54,96316.83,596,0.266,11427.74,0.043,0.5,93.24,Excellent rates,0,Positive,High Risk,Conservative Saver,Financial/Pricing
2025-03-22,CUST-2025013,"Arizona, US",Finance,41,62922.52,624,0.217,100172.48,0.175,0.4,83.43,High fees,0,Negative,Medium Risk,Conservative Saver,Financial/Pricing
2025-01-17,CUST-2025014,"Nebraska, US",Education,49,47677.89,699,0.163,61974.49,0.076,0.55,82.63,Excellent rates,0,Positive,Medium Risk,Mass Market,Financial/Pricing
2025-02-25,CUST-2025015,"Alabama, US",Education,49,74264.5,662,0.126,19987.87,0.077,0.14,92.13,Process was slow,0,Negative,Medium Risk,Mass Market,Digital/Operations
2025-02-25,CUST-2025016,"Connecticut, US",Finance,35,66989.06,695,0.194,97964.33,0.141,0.3,82.83,Process was slow,0,Negative,Medium Risk,Mass Market,Digital/Operations
2025-04-10,CUST-2025017,"Kentucky, US",Technology,42,69403.98,754,0.026,66134.16,0.278,0.52,87.61,Standard banking,0,Neutral,Medium Risk,Mass Market,General Service
2025-12-10,CUST-2025018,"Florida, US",Healthcare,36,118370.19,640,0.067,3676.73,0.105,0.17,84.75,Excellent rates,0,Positive,Medium Risk,Mass Market,Financial/Pricing
2025-01-16,CUST-2025019,"New Mexico, US",Manufacturing,61,154688.19,695,0.097,2200.14,0.049,0.16,81.41,Standard banking,0,Neutral,Medium Risk,Mass Market,General Service
2025-10-26,CUST-2025020,"Washington, US",Education,38,25000.0,614,0.118,22875.15,0.126,0.38,89.05,Quick approval,0,Positive,Medium Risk,Mass Market,Digital/Operations
2025-08-16,CUST-2025021,"South Dakota, US",Education,49,44173.2,690,0.186,38555.21,0.229,0.53,87.29,Process was slow,0,Negative,Medium Risk,Mass Market,Digital/Operations
2025-12-14,CUST-2025022,"Connecticut, US",Manufacturing,52,54216.31,694,0.097,1059.62,0.065,0.54,93.16,Quick approval,0,Positive,Medium Risk,Mass Market,Digital/Operations
2025-10-05,CUST-2025023,"South Carolina, US",Retail,41,64587.35,716,0.056,20935.98,0.071,0.52,89.76,Excellent rates,0,Positive,Medium Risk,Mass Market,Financial/Pricing
2025-04-16,CUST-2025024,"New York, US",Technology,46,45182.84,619,0.074,50822.59,0.26,0.57,87.81,Quick approval,0,Positive,Medium Risk,Mass Market,Digital/Operations
2025-07-13,CUST-2025025,"Hawaii, US",Technology,52,95442.53,795,0.105,90738.88,0.082,0.8,81.7,High fees,0,Negative,Medium Risk,Mass Market,Financial/Pricing
2025-01-22,CUST-2025026,"New Jersey, US",Manufacturing,45,49411.2,665,0.194,24841.49,0.11,0.18,81.76,Excellent rates,0,Positive,Medium Risk,Mass Market,Financial/Pricing
2025-09-17,CUST-2025027,"Kansas, US",Retail,58,49012.06,614,0.036,171542.2,0.023,0.97,82.29,Excellent rates,0,Positive,Medium Risk,Mass Market,Financial/Pricing
2025-01-14,CUST-2025028,"New Hampshire, US",Technology,46,58546.57,784,0.09,143412.8,0.165,0.24,89.2,Standard banking,0,Neutral,Low Risk,Mass Market,General Service
2025-05-09,CUST-2025029,"Georgia, US",Retail,62,42087.55,557,0.01,14221.06,0.127,0.21,91.65,Quick approval,1,Positive,High Risk,Mass Market,Digital/Operations
2025-06-01,CUST-2025030,"Arkansas, US",Technology,58,96059.05,677,0.046,22464.41,0.113,0.21,79.71,Standard banking,0,Neutral,Medium Risk,Mass Market,General Service
2025-05-06,CUST-2025031,"Oklahoma, US",Real Estate,53,76794.89,732,0.111,21355.87,0.124,0.29,92.17,Process was slow,0,Negative,Low Risk,Mass Market,Digital/Operations
2025-07-26,CUST-2025032,"Kentucky, US",Education,35,25000.0,667,0.225,76271.31,0.076,0.45,91.09,Standard banking,0,Neutral,Medium Risk,Conservative Saver,General Service
2025-02-18,CUST-2025033,"Missouri, US",Healthcare,38,48487.48,541,0.186,32468.63,0.048,0.61,83.21,Process was slow,0,Negative,High Risk,Mass Market,Digital/Operations
2025-08-05,CUST-2025034,"Illinois, US",Retail,55,47780.69,702,0.01,12358.28,0.278,0.95,85.61,Process was slow,0,Negative,Medium Risk,Mass Market,Digital/Operations
2025-03-21,CUST-2025035,"Wyoming, US",Finance,40,72646.61,626,0.148,10399.15,0.26,0.59,89.92,High fees,0,Negative,Medium Risk,Mass Market,Financial/Pricing
2025-01-26,CUST-2025036,"Colorado, US",Manufacturing,51,70725.51,682,0.123,12120.3,0.088,0.2,82.0,High fees,0,Negative,Medium Risk,Mass Market,Financial/Pricing
2025-02-26,CUST-2025037,"Iowa, US",Manufacturing,45,41249.85,563,0.096,9055.8,0.209,0.26,85.14,Process was slow,0,Negative,High Risk,Mass Market,Digital/Operations
2025-02-15,CUST-2025038,"Nebraska, US",Manufacturing,67,123061.02,718,0.19,37402.44,0.062,0.27,87.47,Excellent rates,0,Positive,Medium Risk,Mass Market,Financial/Pricing
2025-05-06,CUST-2025039,"Illinois, US",Services,51,49619.73,518,0.107,239.13,0.124,0.66,87.53,Quick approval,0,Positive,High Risk,Mass Market,Digital/Operations
2025-10-22,CUST-2025040,"Illinois, US",Services,44,37450.01,722,0.185,55276.57,0.121,0.36,88.41,Process was slow,0,Negative,Low Risk,Mass Market,Digital/Operations
2025-12-02,CUST-2025041,"Arkansas, US",Healthcare,52,116410.89,643,0.094,64262.98,0.027,0.6,93.46,Quick approval,0,Positive,Medium Risk,Mass Market,Digital/Operations
2025-02-12,CUST-2025042,"Alabama, US",Technology,48,109503.59,664,0.105,62473.68,0.163,0.6,93.12,Process was slow,0,Negative,Medium Risk,Mass Market,Digital/Operations
2025-08-07,CUST-2025043,"Ohio, US",Education,50,59746.73,706,0.29,25991.07,0.011,0.1,84.94,High fees,0,Negative,Medium Risk,Conservative Saver,Financial/Pricing
2025-10-20,CUST-2025044,"Texas, US",Education,53,58724.23,773,0.184,69929.55,0.095,0.09,90.05,High fees,0,Negative,Low Risk,Mass Market,Financial/Pricing
2025-06-13,CUST-2025045,"Idaho, US",Services,36,48372.63,609,0.119,11717.69,0.173,0.53,83.28,High fees,0,Negative,Medium Risk,Mass Market,Financial/Pricing
2025-06-06,CUST-2025046,"Colorado, US",Education,44,33540.84,523,0.312,42540.49,0.077,0.42,83.79,Process was slow,0,Negative,High Risk,Conservative Saver,Digital/Operations
2025-08-09,CUST-2025047,"South Carolina, US",Finance,72,86627.63,736,0.226,22912.42,0.125,0.3,86.47,High fees,0,Negative,Low Risk,Conservative Saver,Financial/Pricing
2025-02-27,CUST-2025048,"West Virginia, US",Real Estate,38,62818.67,792,0.01,6831.9,0.248,0.42,87.71,Standard banking,0,Neutral,Low Risk,Mass Market,General Service
2025-07-17,CUST-2025049,"Tennessee, US",Technology,42,60890.23,666,0.088,40716.87,0.147,0.27,82.36,Neutral: No feedback provided.,0,Neutral,Medium Risk,Mass Market,Financial/Pricing
2025-03-18,CUST-2025050,"Wyoming, US",Education,71,72609.67,615,0.277,29520.94,0.176,0.11,92.8,High fees,0,Negative,Medium Risk,Conservative Saver,Financial/Pricing
2025-01-23,CUST-2025051,"Iowa, US",Retail,22,43223.07,745,0.067,9823.35,0.394,0.94,86.85,High fees,0,Negative,Medium Risk,Emerging Gen-Z,Financial/Pricing
2025-08-14,CUST-2025052,"South Carolina, US",Services,29,46641.83,759,0.131,15612.01,0.017,0.37,83.39,Standard banking,0,Neutral,Low Risk,Emerging Gen-Z,General Service
2025-06-09,CUST-2025053,"Arizona, US",Manufacturing,53,32660.52,641,0.118,72392.15,0.107,0.54,83.87,High fees,0,Negative,Medium Risk,Mass Market,Financial/Pricing
2025-10-13,CUST-2025054,"Montana, US",Healthcare,43,121003.45,764,0.216,75946.22,0.063,0.48,82.6,High fees,0,Negative,Low Risk,Conservative Saver,Financial/Pricing
2025-11-08,CUST-2025055,"South Carolina, US",Services,75,71631.38,584,0.089,81936.87,0.294,0.85,82.27,High fees,0,Negative,High Risk,Mass Market,Financial/Pricing
2025-11-08,CUST-2025056,"New Mexico, US",Manufacturing,50,91589.9,671,0.195,134188.35,0.178,0.29,88.1,Standard banking,0,Neutral,Medium Risk,Mass Market,General Service
2025-11-13,CUST-2025057,"Illinois, US",Services,18,62597.06,604,0.082,19491.98,0.327,0.17,80.67,Neutral: No feedback provided.,0,Neutral,Medium Risk,Emerging Gen-Z,Financial/Pricing
2025-02-12,CUST-2025058,"Washington, US",Services,41,40287.02,660,0.131,9212.86,0.227,0.62,89.88,Excellent rates,0,Positive,Medium Risk,Mass Market,Financial/Pricing
2025-11-26,CUST-2025059,"Missouri, US",Retail,43,50758.35,647,0.023,177654.22,0.025,0.8,81.39,High fees,0,Negative,Medium Risk,Mass Market,Financial/Pricing
2025-04-07,CUST-2025060,"New York, US",Healthcare,58,133922.64,494,0.215,20414.41,0.022,0.33,87.07,Excellent rates,0,Positive,High Risk,Conservative Saver,Financial/Pricing
2025-09-13,CUST-2025061,"New York, US",Services,25,76247.93,697,0.129,1111.65,0.107,0.88,84.76,Quick approval,0,Positive,Medium Risk,Emerging Gen-Z,Digital/Operations
2025-09-16,CUST-2025062,"Vermont, US",Retail,60,40080.91,775,0.024,12277.31,0.191,0.34,79.13,Neutral: No feedback provided.,0,Neutral,Low Risk,Mass Market,Financial/Pricing
2025-01-25,CUST-2025063,"Ohio, US",Technology,40,54624.68,725,0.039,95082.43,0.112,0.87,82.98,Quick approval,0,Positive,Medium Risk,Mass Market,Digital/Operations
2025-10-11,CUST-2025064,"Vermont, US",Services,48,43810.38,636,0.069,19393.9,0.3,0.74,82.87,Excellent rates,0,Positive,Medium Risk,Mass Market,Financial/Pricing
2025-05-02,CUST-2025065,"Iowa, US",Services,39,25000.0,616,0.012,2042.61,0.199,0.3,79.58,Process was slow,0,Negative,Medium Risk,Mass Market,Digital/Operations
2025-12-16,CUST-2025066,"Michigan, US",Manufacturing,41,53544.36,695,0.179,29477.48,0.204,0.5,84.01,High fees,0,Negative,Medium Risk,Mass Market,Financial/Pricing
2025-01-27,CUST-2025067,"Florida, US",Retail,48,56336.81,724,0.093,51294.34,0.261,0.92,78.94,Process was slow,0,Negative,Medium Risk,Mass Market,Digital/Operations
2025-07-18,CUST-2025068,"Connecticut, US",Manufacturing,39,77855.61,708,0.12,15224.73,0.144,0.54,88.1,High fees,0,Negative,Medium Risk,Mass Market,Financial/Pricing
2025-09-02,CUST-2025069,"Massachusetts, US",Healthcare,44,126242.13,583,0.17,3161.14,0.222,0.27,90.31,Neutral: No feedback provided.,0,Neutral,High Risk,Mass Market,Financial/Pricing
2025-12-04,CUST-2025070,"Oregon, US",Education,34,74482.78,806,0.172,77545.76,0.172,0.15,88.53,High fees,0,Negative,Low Risk,Mass Market,Financial/Pricing
2025-07-11,CUST-2025071,"Wyoming, US",Real Estate,39,112539.87,767,0.013,129400.58,0.398,0.95,85.14,Process was slow,0,Negative,Medium Risk,Mass Market,Digital/Operations
2025-01-25,CUST-2025072,"Nebraska, US",Education,72,58561.06,806,0.097,7805.51,0.128,0.46,85.91,Process was slow,0,Negative,Low Risk,Mass Market,Digital/Operations
2025-09-14,CUST-2025073,"Colorado, US",Services,46,103765.06,783,0.021,11501.53,0.247,0.44,94.27,Quick approval,0,Positive,Low Risk,Mass Market,Digital/Operations
2025-02-14,CUST-2025074,"Louisiana, US",Education,53,77879.53,737,0.222,7097.98,0.136,0.17,86.69,Process was slow,0,Negative,Low Risk,Conservative Saver,Digital/Operations
2025-01-01,CUST-2025075,"Virginia, US",Healthcare,49,64467.79,759,0.101,77527.56,0.122,0.58,89.92,Excellent rates,0,Positive,Medium Risk,Mass Market,Financial/Pricing
2025-08-18,CUST-2025076,"Colorado, US",Education,37,79454.15,725,0.301,48655.11,0.157,0.09,83.96,Process was slow,0,Negative,Low Risk,Conservative Saver,Digital/Operations
2025-12-13,CUST-2025077,"Connecticut, US",Real Estate,37,185302.56,646,0.01,61365.08,0.099,0.14,88.8,Excellent rates,0,Positive,Medium Risk,Elite/HNW,Financial/Pricing
2025-10-19,CUST-2025078,"Alabama, US",Retail,55,39181.27,688,0.044,58450.63,0.072,0.99,79.1,Excellent rates,0,Positive,Medium Risk,Mass Market,Financial/Pricing
2025-02-04,CUST-2025079,"North Dakota, US",Manufacturing,51,34273.55,639,0.129,10645.24,0.173,0.6,93.64,Standard banking,0,Neutral,Medium Risk,Mass Market,General Service
2025-07-05,CUST-2025080,"New Jersey, US",Healthcare,48,77044.82,766,0.131,26520.18,0.009,0.3,95.54,Quick approval,0,Positive,Low Risk,Mass Market,Digital/Operations
2025-08-12,CUST-2025081,"Alabama, US",Technology,18,44986.28,658,0.093,79443.44,0.047,0.24,82.01,Neutral: No feedback provided.,0,Neutral,Medium Risk,Emerging Gen-Z,Financial/Pricing
2025-12-05,CUST-2025082,"New York, US",Manufacturing,55,87395.13,747,0.112,36754.32,0.093,0.26,80.78,High fees,0,Negative,Low Risk,Mass Market,Financial/Pricing
2025-11-05,CUST-2025083,"Florida, US",Manufacturing,31,71088.81,617,0.201,29417.79,0.029,0.47,81.89,Standard banking,0,Neutral,Medium Risk,Conservative Saver,General Service
2025-12-23,CUST-2025084,"New Hampshire, US",Healthcare,33,66475.95,654,0.174,12028.78,0.1,0.56,92.53,Excellent rates,0,Positive,Medium Risk,Mass Market,Financial/Pricing
2025-01-19,CUST-2025085,"Virginia, US",Technology,30,117259.67,805,0.058,41793.88,0.238,0.18,83.83,Process was slow,0,Negative,Low Risk,Mass Market,Digital/Operations
2025-04-06,CUST-2025086,"New Jersey, US",Services,37,77283.0,668,0.138,91430.98,0.065,0.6,88.65,High fees,0,Negative,Medium Risk,Mass Market,Financial/Pricing
2025-01-17,CUST-2025087,"New York, US",Technology,42,35453.61,801,0.068,8300.57,0.209,0.84,92.21,Quick approval,0,Positive,Medium Risk,Mass Market,Digital/Operations
2025-05-02,CUST-2025088,"Texas, US",Retail,18,25000.0,685,0.023,35874.31,0.194,0.52,91.95,Excellent rates,0,Positive,Medium Risk,Emerging Gen-Z,Financial/Pricing
2025-04-21,CUST-2025089,"Washington, US",Finance,46,51351.93,675,0.144,33318.74,0.145,0.15,91.26,Quick approval,0,Positive,Medium Risk,Mass Market,Digital/Operations
2025-11-07,CUST-2025090,"Alabama, US",Technology,64,56885.31,716,0.091,5086.39,0.17,0.6,93.77,Quick approval,0,Positive,Medium Risk,Mass Market,Digital/Operations
